,Island,Ecomorph,dominant.color,secondary.color,tertiary.color,quarternary.color,scales,pattern,numcols,numcols2,domcol
grahami,Jamaica,TrunkCrown,orange,yellow,,,yellow,gradient,2,2,red
conspersus,SmallIsland,TrunkCrown,blue,,,,white,solid,2,2,black
garmani,Jamaica,CrownGiant,orange,,,,green,solid,2,2,red
opalinus,Jamaica,TrunkCrown,red,yellow,orange,,0,basal,3,3,red
valencienni,Jamaica,Twig,pink,red,,,white,solid,3,3,pink
lineatopus,Jamaica,TrunkGround,orange,yellow,white,,white,gradient,3,3,red
reconditus,Jamaica,Unique,orange,,,,white,gradient,2,2,red
nitens,Mainland,NA,purple,pink,red,,white,basal,4,3,black
auratus,Mainland,NA,black,,,,yellow,solid,2,2,black
annectens,Mainland,NA,red,black,,,white,speckled,3,3,red
onca,Mainland,NA,orange,brown,,,white,reticulate,3,3,red
aquaticus,Mainland,NA,red,orange,,,white,striped,3,3,red
woodi,Mainland,NA,brown/yellow,,,,white,solid,2,2,yellow
biporcatus,Mainland,NA,red,purple,blue,,white,gradient,4,3,red
polyrhachis,Mainland,NA,peach,,,,white,solid,2,2,pink
uniformis,Mainland,NA,pink,purple,blue,,white,spotted,4,3,pink
nebuloides,Mainland,NA,pink,yellow,,,white,marginal,3,3,pink
quercorum,Mainland,NA,pink,white,,,white,striped,2,2,pink
nebulosus,Mainland,NA,yellow,red,,,white,reticulate,3,3,yellow
crassulus,Mainland,NA,orange,yellow,,,white,marginal,3,3,red
sminthus,Mainland,NA,red,,,,white,solid,2,2,red
utilensis,Mainland,NA,red,,,,white,solid,2,2,red
trachyderma,Mainland,NA,yellow,,,,brown,solid,2,2,yellow
poecilopus,Mainland,NA,yellow,,,,white,solid,2,2,yellow
tropidogaster,Mainland,NA,red,orange,yellow,,white,gradient,4,3,red
oxylophus,Mainland,NA,orange,,,,brown,solid,2,2,red
lionotus,Mainland,NA,orange,red,,,0,gradient,2,2,red
limifrons,Mainland,NA,white,orange,,,0,spotted,2,2,white
zeus,Mainland,NA,white,,,,0,solid,1,1,white
bicaorum,SmallIsland,NA,red,brown,,,white,gradient,3,3,red
lemurinus,Mainland,NA,red,peach,brown,,white,gradient,4,3,red
carpenteri,Mainland,NA,yellow,grey,,,white,striped,3,3,yellow
ocelloscapularis,Mainland,NA,orange,white,,,white,marginal,2,2,red
capito,Mainland,NA,orange,,,,brown,solid,2,2,red
tropidonotus,Mainland,NA,red,brown,yellow,,yellow,reticulate,4,3,red
polylepis,Mainland,NA,orange,yellow,,,white,basal,3,3,red
cupreus,Mainland,NA,pink,orange,,,white,divided,3,3,pink
humilis,Mainland,NA,red,yellow,,,black,marginal,3,3,red
fuscoauratus,Mainland,NA,pink,grey,,,white,striped,3,3,pink
altae,Mainland,NA,red,orange,white,,white,gradient,3,3,red
pachypus,Mainland,NA,yellow,red,,,brown,striped,3,3,yellow
laeviventris,Mainland,NA,white,,,,0,solid,1,1,white
ortonii,Mainland,NA,orange,yellow,,,white,striped,3,3,red
isthmicus,Mainland,NA,yellow,orange,,,white,reticulate,3,3,yellow
sericeus,Mainland,NA,yellow,blue,red,,white,spotted,4,3,yellow
quadriocellifer,Cuba,TrunkGround,yellow,red,,,white,striped,3,3,yellow
sagrei,Cuba,TrunkGround,red,yellow,,,white,marginal,2,2,red
ophiolepis,Cuba,GrassBush,red,,,,white,solid,2,2,red
mestrei,Cuba,TrunkGround,red,yellow,white,,,unique,3,3,red
homolechis,Cuba,TrunkGround,grey,,,,0,solid,1,1,white
jubar,Cuba,TrunkGround,peach,white,,,white,marginal,2,2,pink
confusus,Cuba,TrunkGround,yellow,orange,,,0,gradient,2,2,yellow
guafe,Cuba,TrunkGround,grey,,,,0,solid,1,1,white
ahli,Cuba,TrunkGround,yellow,red,,,white,basal,3,3,yellow
allogus,Cuba,TrunkGround,peach,orange,red,,white,basal,4,3,pink
imias,Cuba,TrunkGround,peach,white,,,0,gradient,2,2,pink
desechensis,SmallIsland,TrunkGround,orange,yellow,,,0,basal,2,2,red
cristatellus,PuertoRico,TrunkGround,yellow,orange,,,white,basal,3,3,yellow
scriptus,SmallIsland,NA,red,orange,white,,white,marginal,3,3,red
cooki,PuertoRico,TrunkGround,red,,,,white,solid,2,2,red
monensis,SmallIsland,TrunkGround,peach,white,,,0,gradient,2,2,pink
krugi,PuertoRico,GrassBush,orange,,,,yellow,solid,2,2,red
pulchellus,PuertoRico,GrassBush,red,purple,,,yellow,basal,3,3,red
gundlachi,PuertoRico,TrunkGround,brown,yellow,,,white,gradient,3,3,black
poncensis,PuertoRico,GrassBush,yellow,,,,0,solid,1,1,yellow
evermanni,PuertoRico,TrunkCrown,orange,,,,yellow,solid,2,2,red
stratulus,PuertoRico,TrunkCrown,orange,yellow,,,yellow,marginal,2,2,red
acutus,SmallIsland,NA,yellow,white,,,0,gradient,2,2,yellow
caudalis,Hispaniola,Trunk,red,white,,,white,basal,2,2,red
marron,Hispaniola,Trunk,peach,,,,white,solid,2,2,pink
brevirostris,Hispaniola,Trunk,orange,yellow,,,white,basal,3,3,red
websteri,Hispaniola,Trunk,orange,yellow,,,white,marginal,3,3,red
distichus,Hispaniola,Trunk,orange,yellow,,,white,marginal,3,3,red
marmoratus,SmallIsland,NA,yellow,,,,white,solid,2,2,yellow
sabanus,SmallIsland,NA,yellow,,,,0,solid,1,1,yellow
lividus,SmallIsland,NA,orange,yellow,white,,0,gradient,3,3,red
oculatus,SmallIsland,NA,yellow,,,,0,solid,1,1,yellow
bimaculatus,SmallIsland,NA,yellow,,,,white,solid,2,2,yellow
gingivinus,SmallIsland,NA,orange,,,,yellow,solid,2,2,red
leachi,SmallIsland,NA,orange,,,,white,solid,2,2,red
schwartzi,SmallIsland,NA,yellow,white,,,0,marginal,2,2,yellow
wattsi,SmallIsland,NA,orange,yellow,,,white,gradient,3,3,red
pogus,SmallIsland,NA,peach,,,,0,solid,1,1,pink
longiceps,SmallIsland,TrunkCrown,yellow,,,,0,solid,1,1,yellow
maynardi,SmallIsland,TrunkCrown,yellow,,,,green,solid,2,2,yellow
brunneus,SmallIsland,TrunkCrown,pink,white,,,white,gradient,2,2,pink
allisoni,Cuba,TrunkCrown,pink,green,,,white,divided,3,3,pink
smaragdinus,SmallIsland,TrunkCrown,pink,white,,,white,solid,2,2,pink
carolinensis,Mainland,NA,pink,,,,white,solid,2,2,pink
porcatus,Cuba,TrunkCrown,pink,,,,white,solid,2,2,pink
altitudinalis,Cuba,TrunkCrown,yellow,,,,0,solid,1,1,yellow
argillaceus,Cuba,Unique,yellow,orange,,,0,reticulate,2,2,yellow
pumilis,Cuba,Unique,peach,,,,brown,solid,2,2,pink
loysiana,Cuba,Trunk,peach,,,,white,solid,2,2,pink
garridoi,Cuba,Twig,peach,,,,white,solid,2,2,pink
guazuma,Cuba,Twig,orange,yellow,,,yellow,basal,2,2,red
tranquillus,Mainland,NA,peach,,,,white,solid,2,2,pink
sheplani,Hispaniola,Twig,peach,brown,,,0,speckled,2,2,pink
placidus,Hispaniola,Twig,peach,,,,0,solid,1,1,pink
angusticeps,Cuba,Twig,peach,,,,0,solid,2,2,pink
alayoni,Cuba,Twig,peach,,,,0,solid,1,1,pink
cupeyalensis,Cuba,GrassBush,orange,pink,white,,0,gradient,3,3,red
cyanopleurus,Cuba,GrassBush,yellow,,,,0,solid,1,1,yellow
clivicola,Cuba,GrassBush,orange,red,,,white,gradient,3,3,red
alfaroi,Cuba,GrassBush,grey,,,,0,solid,1,1,white
macilentus,Cuba,GrassBush,brown,white,,,0,gradient,2,2,black
alutaceus,Cuba,GrassBush,brown,white,,,0,gradient,2,2,black
inexpectatus,Cuba,GrassBush,yellow,,,,0,solid,1,1,yellow
