,Species,AvgNumber,Vert
1,ahli,40.4,40
2,allogus,42.66666667,43
3,rubribarbus,44,44
4,imias,41.5,42
5,sagrei,46.2,46
6,bremeri,45.5,46
7,quadriocellifer,41.66666667,42
8,ophiolepis,51,51
9,mestrei,44.33333333,44
10,jubar,39.8,40
11,homolechis,41.55555556,42
12,guafe,40,40
13,garmani,52.22222222,52
14,opalinus,46,46
15,grahami,42.5,43
16,valencienni,41.45454545,41
17,lineatopus,42.66666667,43
18,evermanni,44.75,45
19,stratulus,39,39
20,krugi,50.33333333,50
21,pulchellus,49.16666667,49
22,gundlachi,44.66666667,45
23,poncensis,52.33333333,52
24,cooki,44.66666667,45
25,cristatellus,40.4,40
26,brevirostris,33.875,34
27,caudalis,34.5,35
28,marron,35.5,36
29,websteri,33.66666667,34
30,distichus,34.2,34
31,alumina,47.6,48
32,semilineatus,48.22222222,48
33,olssoni,48.25,48
34,insolitus,39.6,40
35,whitemani,48.28571429,48
36,haetianus,46,46
37,breslini,45.5,46
38,armouri,44.8,45
39,cybotes,46.25,46
40,shrevei,47.77777778,48
41,longitibialis,43.83333333,44
42,strahmi,45.8,46
43,marcanoi,47.2,47
44,baleatus,48.22222222,48
45,barahonae,47.5,48
46,ricordii,50,50
47,cuvieri,47.83333333,48
48,barbatus,36,36
49,porcus,38.5,39
50,chamaeleonides,36.33333333,36
51,guamuhaya,34,34
52,isolepis,36.25,36
53,allisoni,50.66666667,51
54,porcatus,50,50
55,loysiana,35,35
56,guazuma,38,38
57,placidus,39.5,40
58,sheplani,39.33333333,39
59,angusticeps,43,43
60,paternus,49,49
61,alutaceus,43.71428571,44
62,clivicola,39.4,39
63,cupeyalensis,46,46
64,cyanopleurus,47,47
65,macilentus,47,47
66,vanidicus,44,44
67,noblei,51,51
68,smallwoodi,50,50
69,luteogularis,49.625,50
70,equestris,49.5,50
71,bahorucoensis,46.5,47
72,dolichocephalus,48,48
73,darlingtoni,50,50
74,aliniger,40.5,41
75,singularis,42.4,42
76,chlorocyanus,48.75,49
77,coelestinus,45.5,46
78,occultus,37.85714286,38
79,agassizi,47,47
80,argillaceus,39.25,39
81,auratus,49,49
82,barbouri,47.33333333,47
83,biporcatus,50.5,51
84,capito,36.5,37
85,carolinensis,47.5,48
86,centralis,38.5,39
87,christophei,46,46
88,etheridgei,48,48
89,fowleri,55,55
90,frenatus,47.5,48
91,fuscoauratus,46,46
92,humilis,35,35
93,lemurinus,43.5,44
94,limifrons,46,46
95,lionotus,41,41
96,loveridgei,46,46
97,lucius,46.2,46
98,microtus,47.66666667,48
99,pachypus,38.5,39
100,poecilopus,41,41
101,polylepis,43.5,44
102,pumilis,40,40
103,punctatus,50,50
104,reconditus,48.71428571,49
105,trachyderma,43,43
106,transversalis,46.5,47
107,tropidogaster,42,42
108,tropidonotus,39.18181818,39
109,uniformis,38,38
110,vermiculatus,46.66666667,47
111,woodi,51.66666667,52
